record_id,route_id,origin_station,destination_station,district,encoded_transport,fare_hkd,distance_km,scheduled_duration_min,hour_of_day,day_of_week,is_holiday,weather_condition,country_code,internal_batch_id,survey_code,campaign_tag,device_theme,promo_bucket,random_zone_code,passenger_token,session_id,ticket_reference,device_id_hash,distance_m,fare_hkd_rounded,route_group,is_peak_hour,service_note,ops_comment_code,route_label_variant
R01177,RT005,Workshop,Audit Hub,Internal,admin_move,,,about 24,23,Tue,0,System,SYS,B2808,SYS,maintenance_ops,classic,none,zone-5,PX86254671,S5373403602,TKT-391544,dev-ff797797,5530,10,group-0,0,test record,OPS-SYS,ROUTE 005
R01178,RT018,Kennedy Town,Central Station,Central and Western,bus_standard_local_KMB,,,,7,Thu,0,cloudy,hkg,B5652,S2,none,compact,B,zone-4,PX45528029,S5455687369,TKT-163344,dev-3043abfb,4690,9,group-0,1,platform crowding,OPS-B,ROUTE 018
R01179,RT059,CausewayBay,North%20Pt,Wan Chai,ferry_local_standard_HKKF,,,,16,thu,0,,HK,B2258,S1,summer_push,compact,A,zone-2,PX84495665,S9577902167,TKT-967469,dev-f668d1ff,11150,18,group-0,0,minor queue,OPS-A,ROUTE 059
R01180,RT015,Sha Tin,Wan Chai,Yau Tsim Mong,bus-airport_local_standard_KMB,8.0-13.0,3.09,17.0,23,Thu,1,heavy-rn,hkg,B4069,SYS,internal_audit,classic,none,zone-3,PX34323076,S3041153536,TKT-188096,dev-934b9482,3090,8,group-0,0,depot transfer,OPS-SYS,ROUTE 015
R01181,RT025,Audit Hub,Workshop,Operations,staff_shuttle,,,,20,Mon,0,Test,TST,B1248,SYS,maintenance_ops,classic,none,zone-2,PX27279764,S6258693374,TKT-779722,dev-7aaabb55,3680,9,group-0,0,sandbox move,OPS-SYS,ROUTE 025
R01182,RT035,north%2520point,Tsim Sha Tsui,Eastern,Ferry-crossharbour_Local_STANDARD_hkkf,,,,18,Sun,0,,geo::hkg,B5279,S2,commuter_plus,contrast,none,zone-3,PX84843513,S8800887061,TKT-660025,dev-28e98f14,7970,13,group-0,1,weather watch,OPS-A,ROUTE 035
R01183,RT079,Kennedy Town,Sha Tin,Wan Chai,bus-airport_local_standard_KMB,10.6 HKD,5.09-6.3,dur=33,10,Fri,0,Cloudy,geo::852,B9174,SYS,staff_shuttle,large_text,B,zone-2,PX24932394,S3312434499,TKT-520822,dev-591b6a6a,5090,11,group-0,0,maintenance escort,OPS-SYS,ROUTE 079
R01184,RT017,Tsim Sha Tsui,TSUEN WAN,Yau Tsim Mong,Tram_standard_local_CityBus,,,,10,Wed,0,,MO,B8908,S3,none,contrast,none,zone-4,PX91702758,S6021104155,TKT-280387,dev-c4628ff0,15200,24,group-0,0,weather watch,OPS-B,Route-017
R01185,RT070,TsimShaTsui,CWB,Yau Tsim Mong,bus_bus_express_STANDARD_K.M.B.,2.0-7.0,unknown,1.0,16,Mon,0,,HK,B6444,S2,none,contrast,none,zone-4,PX61204692,S7572608583,TKT-770862,dev-ec632513,350000,9000,group-0,0,minor queue,OPS-C,Route-070
R01186,RT053,Tsuen Wan,Mong Kok,Sha Tin,tram_local_standard_CTB,0.5,"0,2",2 min,23,Fri,1,heavy-rn,hkg,B1539,SYS,internal_audit,contrast,none,zone-3,PX80072657,S7264624090,TKT-370482,dev-ea8cd4fd,120000,9000,group-0,0,sandbox move,OPS-SYS,Route-053
R01187,RT010,Wan Chai,MongKok,Wan Chai,bus_bus_local_standard_Kowloon Motor Bus,16.6,,T54,11,Fri,0,,HK,B5277,S1,commuter_plus,large_text,none,zone-4,PX32905261,S6285952054,TKT-337023,dev-f929b7fa,9500,17,group-0,0,platform crowding,OPS-A,Route-010
R01188,RT036,Causeway Bay,Tsim Sha Tsui,Yau Tsim Mong,bus-airport_local_standard_KMB,,,,17,Sat,1,Sunny,HK,B2970,SYS,staff_shuttle,classic,none,zone-2,PX45041411,S3874767240,TKT-154167,dev-2017cf1e,2060,7,group-0,1,internal audit,OPS-SYS,Route-036
R01189,RT040,MongKok,North Pt,Yau Tsim Mong,ferry_Local_standard_hkkf,"0,5","0,5",dur=5,23,Tue,0,,HK,B9707,S1,none,compact,none,zone-2,PX17492101,S7173162081,TKT-544630,dev-199dce85,350000,9000,group-0,0,weather watch,OPS-A,ROUTE 040
R01190,RT030,Central%20Stn,Mong%20Kok,Central and Western,bus-Airport_Local_STANDARD_K.M.B.,,,,19,Wed,0,,852,B5743,S2,commuter_plus,contrast,A,zone-3,PX83980012,S8291990373,TKT-852431,dev-010947c4,2260,26,group-0,1,minor queue,OPS-B,Route-030
R01191,RT001,Tsim%20Sha%20Tsui,Causeway Bay,Yau Tsim Mong,bus%20local%20premium%20K.M.B.;backup=CTB,,,,23,Fri,0,,HK,B4012,S1,tourist_day,large_text,none,zone-1,PX93150065,S6930957214,TKT-823727,dev-a815805e,4380,18,group-0,0,priority boarding,OPS-B,Route-001
R01192,RT001,Causeway Bay,S Tin  ,Wan Chai,ferry / local / standard / HK Ferry,2500.0-2505.0,dist=120.0,na-dur,11,Tue,0,cloudy,HK,B1310,S4,none,classic,none,zone-5,PX16567342,S7415663368,TKT-898266,dev-b5a1efb8,25,2500,group-0,0,platform crowding,OPS-C,ROUTE 001
R01193,RT022,Wan Chai,Tsuen Wan,Central and Western,tram_local_standard_CTB,,,,17,Tue,1,Sunny,HK,B4827,SYS,internal_audit,compact,A,zone-4,PX18340772,S8404030009,TKT-215573,dev-27013ab6,3700,8,group-0,1,internal audit,OPS-SYS,ROUTE 022
R01194,RT036,Tsuen%20Wan,NORTH%20POINT,Tsuen Wan,op=bus-airport-local-standard-CityBus;backup=KMB,180.0,"240,0",4.2 hrs,9,Thu,0,,HK,B5518,S3,tourist_day,classic,A,zone-5,PX40382128,S1375131782,TKT-185491,dev-1e6bf907,900000,2500,group-0,1,weather watch,OPS-C,ROUTE 036
R01195,RT043,Causeway Bay,North Point,Yau Tsim Mong,bus-airport_local_standard_KMB,,,,5,Fri,0,Cloudy,territory-hk,B1099,SYS,internal_audit,contrast,none,zone-1,PX48057346,S1527472556,TKT-128968,dev-502b1909,3370,9,group-0,0,depot transfer,OPS-SYS,Route-043
R01196,RT060,Central Station,Kennedy Town,Sha Tin,ferry_local_premium_HKKF,"0,0",dist=0.05,5.0,13,Sun,0,sunny,hkg,B3117,S3,summer_push,large_text,A,zone-2,PX51568987,S2232337164,TKT-776936,dev-4f09cdcf,75,999,group-0,0,priority boarding,OPS-D,ROUTE 060
R01197,RT062,Tsuen%20Wan,Wan Chai,Tsuen Wan,ferry_local_HKKF,,,,20,Thu,0,,HK,B7610,S3,none,large_text,none,zone-2,PX85498692,S5888684543,TKT-482146,dev-916360e3,18360,25,group-0,0,weather watch,OPS-C,Route-062
R01198,RT069,North Pt,Mong%20Kok,Eastern,Bus_EXPRESS_premium_CityBus,1.0,0.2 km,0.1 hrs,12,Tue,0,,HK,B1001,S1,tourist_day,contrast,A,zone-1,PX12336615,S8001997785,TKT-995775,dev-66536939,75,999,group-0,0,normal service,OPS-B,Route-069
R01199,RT026,Tsuen Wan,Admiralty,Tsuen Wan,TRAM_LOCAL_PREMIUM_ctb;backup=KMB,missing,250.0,900 min,10,Fri,0,wx.rn.alert,legacy,B6902,S3,none,contrast,none,zone-3,PX96762051,S5110147733,TKT-621920,dev-a30de9c9,75,999,group-0,0,normal service,OPS-C,ROUTE 026
R01200,RT038,Central Station,Admiralty,Yau Tsim Mong,bus_local_standard_KMB,,,,23,Mon,1,Cloudy,territory-hk,B6583,SYS,maintenance_ops,classic,B,zone-4,PX79603019,S5418052605,TKT-191854,dev-7d20a758,1710,4,group-0,0,maintenance escort,OPS-SYS,ROUTE 038
R01201,RT054,Admiralty,Sha Tin,Yau Tsim Mong,bus-airport_local_standard_KMB,NA,0.5 / route,1.0,12,Thu,0,Sunny,territory-hk,B9676,SYS,internal_audit,compact,none,zone-4,PX27299743,S1722417248,TKT-856353,dev-d35139fc,75,1,group-0,0,depot transfer,OPS-SYS,Route-054
R01202,RT027, TST ,Mong%20Kok,Yau Tsim Mong,Tram-cross-harbour_LOCAL_STANDARD_CityBus,,,,7,Wed,0,,territory-hk,B7218,S4,none,contrast,B,zone-5,PX89849357,S4108950857,TKT-644970,dev-acf9ac55,3750,8,group-0,1,platform crowding,OPS-C,Route-027
R01203,RT033,North%20Point, Tsim Sha Tsui   ,Eastern,Ferry_Ferry_Local_Standard_HK Ferry,,,,8,mon,0,,HK,B5967,S3,none,large_text,A,zone-5,PX35747684,S3566698183,TKT-990331,dev-4b73d3a6,1910,4,group-0,1,weather watch,OPS-A,Route-033
R01204,RT044,Mong Kok,Tsim Sha Tsui,Central and Western,bus-airport_local_standard_KMB,,,,7,Sat,1,Cloudy,territory-hk,B9561,SYS,maintenance_ops,contrast,A,zone-5,PX36652399,S8391073036,TKT-729177,dev-2f139579,830,18,group-0,1,maintenance escort,OPS-SYS,Route-044
R01205,RT052,Workshop,Audit Hub,Internal,test_run,,,,23,Wed,0,Test,TST,B2185,SYS,maintenance_ops,contrast,none,zone-3,PX59636034,S8088767721,TKT-715665,dev-7afd45bf,4040,27,group-0,0,test record,OPS-SYS,Route-052
R01206,RT029, North Pt ,Kennedy Tn,Eastern,bus|exp|standard|CityBus,,,,16,Sun,0,,HK,B3110,S1,none,large_text,none,zone-5,PX40242680,S2189699915,TKT-765883,dev-fd3a0ad2,6910,17,group-0,0,minor queue,OPS-C,ROUTE 029
R01207,RT040,Mong.Kok,TsimShaTsui,Yau Tsim Mong,BUS_prem_local_Kowloon Motor Bus,,,,5,Tue,0,,HK,B1933,S3,commuter_plus,classic,A,zone-4,PX24803706,S9457780499,TKT-840610,dev-0c7d601b,3370,18,group-0,0,normal service,OPS-B,Route-040
R01208,RT030,TsuenWan, North Pt ,Tsuen Wan,bus_local_standard_Kowloon Motor Bus,,,,15,Fri,0,,HK,B7167,S4,none,compact,A,zone-2,PX78523175,S5981261438,TKT-456199,dev-607829d7,4600,9,group-0,0,weather watch,OPS-C,ROUTE 030
R01209,RT070,Causeway%20Bay,Mong Kok,Wan Chai,BUS_local_Standard_CityBus,,,,12,Fri,0,,HK,B8348,S3,none,contrast,none,zone-4,PX90826407,S6621778352,TKT-438231,dev-b3975fa3,5070,10,group-0,0,priority boarding,OPS-D,Route-070
R01210,RT003,Kennedy Town,Central Station,Sha Tin,bus_bus_express_standard_K.M.B.,missing,0.2 km,00:03:00,15,Sun,0,Sunny,HK,B5940,S1,none,contrast,A,zone-1,PX68148473,S3908579218,TKT-409118,dev-87d90df6,120000,0,group-0,0,platform crowding,OPS-C,ROUTE 003
R01211,RT069,Sha Tin,Wan Chai,Wan Chai,bus_local_standard_KMB,14.1,2.47-3.7,17.0,21,Tue,1,Heavy Rain,HK,B7499,SYS,internal_audit,compact,none,zone-3,PX61372543,S4309221937,TKT-721585,dev-5f35e8af,2470,14,group-0,0,ops rehearsal,OPS-SYS,Route-069
R01212,RT053,Sha Tin,Central Station,Sha Tin,BUS_EXPRESS_standard_Kowloon Motor Bus,,,,12,Sat,0,cloudy,852,B7704,S4,none,large_text,B,zone-2,PX26208253,S4796487195,TKT-739026,dev-615e9800,6840,17,group-0,0,priority boarding,OPS-A,Route-053
R01213,RT014,Tsim Sha Tsui  ,central station,Yau Tsim Mong,bus-XHBR_bus-XHBR_local_standard_K.M.B._v3,,,,10,Wed,0,,hk-zone,B7907,S3,none,large_text,A,zone-3,PX34539859,S2572047172,TKT-631009,dev-4f9d543d,4300,9,group-0,0,weather watch,OPS-D,Route-014
R01214,RT047,Tsim Sha Tsui,Tsuen Wan,Tsuen Wan,bus-airport_local_standard_KMB,10.7 HKD,2.8,14 min,11,Mon,0,wx.hr.critical,hk-zone,B6603,S2,summer_push,classic,none,zone-5,PX70456135,S7112503651,TKT-448888,dev-f824da83,2800,11,group-0,0,platform crowding,OPS-D,Route-047
R01215,RT035,Admiralty,North Point,Wan Chai,bus-crossharbour_local_standard_KMB,~33.8,"15,15",00:65:00,18,wed,0,HEAVY_RAIN,hk-zone,B3551,S1,none,contrast,C,zone-5,PX11479631,S4700501963,TKT-251152,dev-e3eb183e,15150,34,group-0,1,minor queue,OPS-C,ROUTE 035
R01216,RT057,WANCHAI,MONG KOK,Wan Chai,Bus_Local_Standard_kmb,9.3-14.3,,28m est,6,fri,0,Cloudy,HK,B8676,S4,commuter_plus,large_text,none,zone-4,PX43016655,S5237992381,TKT-392440,dev-595cddd8,5760,9,group-0,0,normal service,OPS-D,Route-057
R01217,RT069,Mong%20Kok,NORTH POINT  ,Yau Tsim Mong,bus-XHBR_local_K.M.B.,,,,16,Tue,0,,HK,B2461,S3,summer_push,contrast,B,zone-5,PX73688613,S6344083441,TKT-328634,dev-ba70cb60,1780,5,group-0,0,platform crowding,OPS-C,Route-069
R01218,RT034,tsuen%20wan,Tsim Sha Tsui,Tsuen Wan,bus_local_premium_CityBus,18.1 HKD,4.25 km,,20,Mon,0,,HK,B5870,S4,tourist_day,large_text,none,zone-3,PX99915086,S6864286778,TKT-427043,dev-de56fe5f,4250,18,group-0,0,minor queue,OPS-B,ROUTE 034
R01219,RT055,Kennedy Town, Causeway%20Bay ,Central and Western,bus-airport_EXPRESS_standard_K.M.B.,HK$0.5,about 0.5,1.0,23,Mon,0,,HK,B1645,S4,commuter_plus,large_text,none,zone-1,PX52393972,S3669926923,TKT-586836,dev-fea9cd46,900000,999,group-0,0,normal service,OPS-D,Route-055
R01220,RT004,Mong Kok,Tsim Sha Tsui,Wan Chai,tram_local_standard_CTB,,,,13,Fri,0,heavy-rn,hkg,B1165,SYS,internal_audit,contrast,none,zone-4,PX26359140,S8636686321,TKT-610529,dev-8b0aedd7,4320,8,group-0,0,sandbox move,OPS-SYS,ROUTE 004
R01221,RT023,Sha%20Tin,Tsuen Wan,Sha Tin,bus_standard_local_CityBus,,,,13,Wed,1,,HK,B5150,S3,none,classic,A,zone-5,PX44684392,S3282044114,TKT-980385,dev-a2786d25,4170,9,group-0,0,priority boarding,OPS-A,ROUTE 023
R01222,RT034,Mong.Kok,CENTRAL STATION,Yau Tsim Mong,busXHBRexpressstandardK.M.B.,HK$0.5,500m,4.0,22,Sat,0,,legacy,B5212,S1,none,classic,A,zone-4,PX89987348,S5445829337,TKT-960261,dev-d403acf5,75,1,group-0,0,priority boarding,OPS-B,ROUTE 034
R01223,RT038,North Point,tsimshatsui,Eastern,BUS-AIRPORT_standard_local_ctb,,,0.3 hrs,20,Fri,1,Sunny,HK,B3657,S3,none,compact,C,zone-1,PX73439351,S1930336635,TKT-145981,dev-fbe989fc,2490,24,group-0,0,normal service,OPS-B,Route-038
R01224,RT025,Sha%20Tin,Tsuen Wan,Sha Tin,K.M.B._bus_standard_local,,1.12km approx,9.0,14,Sun,0,heavy-rn,HK,B6830,S2,none,compact,B,zone-3,PX85949878,S3147358725,TKT-415504,dev-0730949b,1120,6,group-0,0,platform crowding,OPS-B,Route-025
R01225,RT028,Kennedy Town,Central Station,Central and Western,bus_local_standard_K.M.B._v7;backup=KMB,,,,12,Sun,1,Sunny,hkg,B8555,S1,commuter_plus,large_text,none,zone-1,PX38632004,S7775411705,TKT-216328,dev-1adfcd8e,11310,17,group-0,0,priority boarding,OPS-D,ROUTE 028
R01226,RT013,North%20Point,Causeway%20Bay,Eastern,FERRY_LOCAL_standard_hkkf,,,,22,Mon,1,,HK,B5923,S4,commuter_plus,classic,none,zone-4,PX61005938,S5748981007,TKT-122713,dev-b46ac5a8,6800,14,group-0,0,priority boarding,OPS-B,ROUTE 013
R01227,RT009,Wan%20Chai, North%20Point ,Wan Chai,Bus_Local_Standard_K.M.B.,1.0,0.5,2.0,12,Tue,0,,HK,B9434,S2,none,compact,A,zone-2,PX25357869,S3650784522,TKT-336462,dev-a88d1f6f,25,999,group-0,0,minor queue,OPS-B,Route-009
R01228,RT057,North Point,Sha Tin,Eastern,CityBus_bus_standard_local;backup=CTB,,,,22,Tue,0,,HK,B3610,S2,none,large_text,B,zone-4,PX87086550,S1833254475,TKT-969234,dev-679f654a,5220,10,group-0,0,priority boarding,OPS-A,Route-057
R01229,RT046,wan%2520chai,TSIM SHA TSUI,Wan Chai,BUS-Airport_standard_express_K.M.B.,,,,13,Sat,0,,hk-zone,B3027,S4,none,compact,none,zone-1,PX93908529,S7882242711,TKT-756415,dev-12765239,5570,34,group-0,0,minor queue,OPS-B,Route-046
R01230,RT071,Central Station,Sha Tin,Central and Western,TRAM_LOCAL_STANDARD_citybus,~1.0,0.2-1.4,na-dur,15,Mon,0,Sunny,HK,B9313,S2,tourist_day,large_text,none,zone-2,PX28463834,S5065700947,TKT-335793,dev-dc62e6c1,75,0,group-0,0,priority boarding,OPS-D,ROUTE 071
R01231,RT076,Kennedy Town,Tsuen%20Wan,Central and Western,tram|exp / standard_CityBus,12.4,3.24,,15,Wed,0,,HK,B7036,S4,tourist_day,compact,none,zone-4,PX50674344,S9486108411,TKT-469886,dev-ac1f3686,3240,12,group-0,0,normal service,OPS-B,ROUTE 076
R01232,RT066,Audit Hub,Audit Hub,Operations,maintenance_shift,0.5,0.5,3.0,20,Mon,1,System,TST,B9257,SYS,staff_shuttle,compact,B,zone-4,PX44268390,S5674367473,TKT-974963,dev-20fc06c9,75,2500,group-0,0,internal audit,OPS-SYS,Route-066
R01233,RT025,Kennedy Town,Central Station,Sha Tin,op=tram-airport||express-standard||CityBus;backup=KMB,,,,19,Thu,0,cloudy,geo::hkg,B7939,S1,commuter_plus,classic,none,zone-4,PX16112705,S3552519321,TKT-438716,dev-d03a0461,11220,38,group-0,1,minor queue,OPS-C,ROUTE 025
R01234,RT074,Tsuen%20Wan,TsimShaTsui,Tsuen Wan,bus-CrossHarbour_LOCAL_standard_K.M.B.,~0.5,about 0.2,3.0,6,Mon,0,,852,B7857,S3,none,contrast,none,zone-4,PX44526812,S4717211667,TKT-865632,dev-b2515f1a,900000,0,group-0,0,weather watch,OPS-C,ROUTE 074
R01235,RT065, SHA TIN ,Central,Sha Tin,tram-crossharbour_LOCAL_STANDARD_ctb;backup=KMB,,,,20,Fri,0,,hk-zone,B6779,S4,tourist_day,classic,none,zone-2,PX59642805,S7959329343,TKT-576728,dev-e49e0064,11030,16,group-0,0,normal service,OPS-B,Route-065
R01236,RT040,Audit Hub,Workshop,Operations,admin_move,HK$150.0,60.0,5.0 hrs,7,Thu,0,Test,SYS,B9702,SYS,maintenance_ops,large_text,A,zone-3,PX64983580,S3258381818,TKT-761294,dev-ef22b2fc,25,2500,group-0,1,staff shuttle,OPS-SYS,Route-040
R01237,RT069,Audit Hub,Audit Hub,Internal,admin_move,,4.04,33 min,20,Sun,0,Test,TST,B8099,SYS,maintenance_ops,large_text,none,zone-3,PX55509528,S4993283803,TKT-128763,dev-3e63a772,4040,8,group-0,0,maintenance escort,OPS-SYS,ROUTE 069
R01238,RT019,Sha Tin,Central Station,Sha Tin,tram__express-standard__CityBus,,,,18,Sun,0,Sunny,852,B8638,S3,none,classic,A,zone-4,PX46330285,S7056774037,TKT-519643,dev-e6df4503,7100,16,group-0,1,normal service,OPS-B,ROUTE 019
R01239,RT071,Causeway Bay,North Point,Wan Chai,meta[route=231;value=tram_local_standard_CTB;flag=B],,,,16,Sat,0,,HK,B1156,S2,commuter_plus,contrast,B,zone-4,PX97438064,S9658866599,TKT-983882,dev-e2a45dbe,23700,31,group-0,0,platform crowding,OPS-B,ROUTE 071
R01240,RT069,Mong Kok,Central Station,Eastern,bus-airport_local_standard_KMB,,,31.0,5,Tue,1,sunny,geo::852,B8880,SYS,maintenance_ops,classic,none,zone-5,PX12225481,S9861527382,TKT-995106,dev-54f762af,6790,12,group-0,0,internal audit,OPS-SYS,Route-069
R01241,RT001,Central Station,Kennedy Town,Sha Tin,tram_local_Standard_CityBus,14.4-19.4,,46.0,21,mon,0,wx.cld.ops,HK,B5073,S1,none,contrast,none,zone-1,PX55917978,S2621020261,TKT-811196,dev-d31843eb,7440,14,group-0,0,platform crowding,OPS-C,ROUTE 001
R01242,RT002,Sha Tin,Kennedy Town,Sha Tin,TRAM_standard_express_CTB,,,9.0,18,Tue,0,Cloudy,hkg,B2775,S2,tourist_day,large_text,A,zone-3,PX91696923,S3758622037,TKT-354933,dev-1aeffffd,1400,12,group-0,1,priority boarding,OPS-D,ROUTE 002
R01243,RT064,Tsuen Wan,Tsim Sha Tsui,Central and Western,ferry_express_premium_HKKF,na-fare,0.1 km,00:05:00,16,Thu,0,Sunny,hkg,B9577,SYS,maintenance_ops,classic,B,zone-4,PX77167427,S8975985762,TKT-543099,dev-2e6b75ae,350000,2500,group-0,0,internal audit,OPS-SYS,Route-064
R01244,RT020,Kennedy Town,Central Station,Central and Western,Bus-CrossHarbour_Local_Standard_Kowloon Motor Bus,,,,9,Mon,0,wx_s,852,B2057,S3,summer_push,large_text,none,zone-4,PX15781059,S2889071951,TKT-566472,dev-d9d5accf,3980,7,group-0,1,weather watch,OPS-B,ROUTE 020
R01245,RT048,Kennedy Town,Mong Kok,Wan Chai,bus_local_CityBus,,,,19,Tue,1,,CN,B4463,S3,none,compact,none,zone-4,PX66773295,S5025470968,TKT-827674,dev-8bc0dda0,5500,11,group-0,1,normal service,OPS-C,ROUTE 048
R01246,RT070,Kennedy Town,Sha Tin,Central and Western,bus-CrossHarbour_Local_standard_kmb,,,,9,Mon,0,wx.cld.ops,hkg,B8800,S2,none,classic,C,zone-4,PX28500391,S2005810133,TKT-258414,dev-38677bf7,8510,13,group-0,1,normal service,OPS-A,Route-070
R01247,RT039,kennedy town,WAN%20CHAI,Central and Western,Tram-NIGHT_Express_standard_ctb,,,,13,Mon,0,,HK,B4271,S2,commuter_plus,large_text,none,zone-5,PX39085345,S7689490179,TKT-595867,dev-401cd4c8,14810,23,group-0,0,platform crowding,OPS-A,ROUTE 039
R01248,RT051,Tsim.Sha.Tsui,Sha Tin,Yau Tsim Mong,bus%20express%20standard%20Kowloon Motor Bus,,,,11,Wed,0,,NA,B9873,S3,none,contrast,A,zone-2,PX19828417,S4634598731,TKT-869461,dev-9795f598,2470,11,group-0,0,minor queue,OPS-D,ROUTE 051
R01249,RT006,Depot,Depot,Operations,staff_shuttle,,,,12,Wed,0,Audit,INT,B9097,SYS,maintenance_ops,classic,A,zone-3,PX36520227,S9995019083,TKT-141397,dev-7da1e171,5380,26,group-0,0,test record,OPS-SYS,ROUTE 006
R01250,RT068,North%20Point,Central Station,Central and Western,tram_LOCAL_standard_CTB,"15,6",unknown,58.0,22,Tue,0,Unknown,HK,B9644,S1,commuter_plus,large_text,B,zone-3,PX89399735,S5968292449,TKT-458823,dev-490e2512,9190,16,group-0,0,weather watch,OPS-D,Route-068
R01251,RT034,Sha Tin,Central Station,Central and Western,TRAM_Local_STANDARD_CityBus,,,,19,sun,0,Sunny,HK,B2012,S3,none,classic,C,zone-4,PX47042072,S5238104924,TKT-801195,dev-70b8f57c,3210,9,group-0,1,platform crowding,OPS-D,Route-034
R01252,RT059,TsimShaTsui,Sha Tin,Sha Tin,tram_tram_Local_Standard_ctb,,,,18,fri,0,,HK,B3585,S3,none,compact,none,zone-5,PX39208131,S4461974013,TKT-556037,dev-dd3510d5,15740,24,group-0,1,priority boarding,OPS-D,Route-059
R01253,RT043,Central Station,Admiralty,Eastern,standard_tram-crossharbour_express_CityBus,900.0 HKD,"250,0",15.0 hrs,18,Tue,0,,territory-hk,B2894,S1,tourist_day,contrast,none,zone-1,PX94126508,S6067545363,TKT-921831,dev-93fc2a5e,120000,1,group-0,1,normal service,OPS-B,Route-043
R01254,RT066,tsuen wan,Tsim Sha Tsui East,Tsuen Wan,bus_standard_local_Kowloon Motor Bus,,4.14,26-34 min,19,Sat,0,,HK,B5138,S4,none,contrast,B,zone-1,PX33134693,S5862023384,TKT-739052,dev-82afb9f9,4140,9,group-0,1,priority boarding,OPS-B,Route-066
R01255,RT075,Tsuen Wan,Central Station,Central and Western,bus-airport_local_standard_KMB,,,,18,Sat,0,Rain,HK,B2530,SYS,maintenance_ops,contrast,B,zone-1,PX19985939,S3775853228,TKT-738937,dev-13538dde,4910,11,group-0,1,internal audit,OPS-SYS,Route-075
R01256,RT027,Central Station,Tsuen%20Wan,Central and Western,Tram_Express_STANDARD_CityBus,HK$6.5,,,19,Wed,0,sunny,HK,B2340,S3,none,classic,none,zone-4,PX25930503,S9434524341,TKT-737925,dev-75d54025,1430,6,group-0,1,priority boarding,OPS-C,Route-027
R01257,RT032, Causeway%20Bay ,Central Station,Wan Chai,ferry_express_standard_HKKF;backup=CTB,,,0.9 hrs,5,Sat,1,Cloudy,HK,B7112,S2,summer_push,large_text,none,zone-1,PX86724760,S8711665207,TKT-194060,dev-cb17e5fa,13010,21,group-0,0,normal service,OPS-B,Route-032
R01258,RT063,Mong Kok,C. Station,Yau Tsim Mong,Bus_local_Standard_CityBus,,,,20,Wed,0,,HK,B2974,S1,summer_push,compact,B,zone-4,PX83340462,S1767012808,TKT-504589,dev-10d9e4d7,6390,12,group-0,0,normal service,OPS-B,Route-063
R01259,RT071,Central Station,Tsim Sha Tsui,Central and Western,bus_local_standard_KMB,26.5,14.1km approx,53.0,10,Tue,0,heavy-rn,territory-hk,B3835,SYS,maintenance_ops,contrast,B,zone-3,PX83111562,S3704866067,TKT-879480,dev-f7f4e6a2,14100,26,group-0,0,staff shuttle,OPS-SYS,Route-071
R01260,RT003,KennedyTown,Admiralty,Central and Western,ferry_local_PREMIUM_Hong Kong Ferry,,5640m,24.0,8,mon,0,,HK,B1272,S2,none,classic,B,zone-5,PX31871044,S1916347890,TKT-466373,dev-cb526480,5640,15,group-0,1,weather watch,OPS-C,ROUTE 003
R01261,RT018,CWB,Kennedy%20Town,Wan Chai,Bus_Local_standard_Kowloon Motor Bus,,,,8,Tue,0,,HK,B5872,S1,none,contrast,none,zone-3,PX72614808,S5321361298,TKT-475827,dev-e18660bb,18230,23,group-0,1,weather watch,OPS-C,Route-018
R01262,RT021,Tsuen Wan,Wan Chai,Yau Tsim Mong,bus_local_standard_KMB,,,,22,Sat,0,sunny,geo::852,B9064,SYS,internal_audit,classic,none,zone-5,PX76435573,S8214704053,TKT-264234,dev-331b3e6a,2170,10,group-0,0,internal audit,OPS-SYS,Route-021
R01263,RT038,Sha Tin,Central Station,Central and Western,Tram-AIRPORT_local_Standard_citybus,,,,20,sat,1,wx_s,geo::hkg,B1571,S4,none,compact,none,zone-2,PX72882577,S8190383651,TKT-768129,dev-a9e12f54,9790,33,group-0,0,platform crowding,OPS-B,ROUTE 038
R01264,RT074,Sha Tin,Central Station,Sha Tin,ferry_express_premium_HKKF,23.6,about 4.15,23.0,12,Fri,0,wx.cld.ops,HK,B2152,S1,summer_push,contrast,C,zone-4,PX56717358,S8397238974,TKT-702412,dev-faac18a4,4150,24,group-0,0,platform crowding,OPS-C,Route-074
R01265,RT068,CausewayBay,North Pt,Wan Chai,bus-night__local-standard__CityBus,,,,22,Sun,0,,HK,B2883,S3,commuter_plus,compact,none,zone-1,PX28814838,S3232059297,TKT-980808,dev-e5235118,14290,22,group-0,0,platform crowding,OPS-B,Route-068
R01266,RT059,Central Station  ,TSIM SHA TSUI,Central and Western,busexpressstandardK.M.B.,0.5 HKD,about 0.1,3-11 min,15,Tue,0,,HK,B2543,S1,none,large_text,none,zone-3,PX42553140,S9404784288,TKT-374404,dev-c302082b,900000,9000,group-0,0,priority boarding,OPS-B,Route-059
R01267,RT039,Central Station,Admiralty,Sha Tin,bus-crossharbour_local_standard_KMB,missing,0.1 km,about 1,20,Tue,0,Sunny,geo::852,B4807,SYS,staff_shuttle,compact,B,zone-5,PX95963803,S9475685689,TKT-289089,dev-ede10755,120000,2500,group-0,0,depot transfer,OPS-SYS,ROUTE 039
